family,target_id,tier,tier_name,tier_dir,file_type,file_name,status,source_origin,scenario_count,source_path,archive_path
Travel,stayflow_concierge,Tier A,Consumer,tier_a,contract,contract.dsl.yaml,included,working_tree,,targets/web/stayflow_concierge/tier_a/contract.dsl.yaml,stayflow_concierge/tier_a/contract.dsl.yaml
Travel,stayflow_concierge,Tier A,Consumer,tier_a,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,5,targets/web/stayflow_concierge/tier_a/scenarios.public.dsl.yaml,stayflow_concierge/tier_a/scenarios.public.dsl.yaml
Travel,stayflow_concierge,Tier A,Consumer,tier_a,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,18,targets/web/stayflow_concierge/tier_a/scenarios.private.dsl.yaml,stayflow_concierge/tier_a/scenarios.private.dsl.yaml
Travel,stayflow_concierge,Tier B,Operational,tier_b,contract,contract.dsl.yaml,included,working_tree,,targets/web/stayflow_concierge/tier_b/contract.dsl.yaml,stayflow_concierge/tier_b/contract.dsl.yaml
Travel,stayflow_concierge,Tier B,Operational,tier_b,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,10,targets/web/stayflow_concierge/tier_b/scenarios.public.dsl.yaml,stayflow_concierge/tier_b/scenarios.public.dsl.yaml
Travel,stayflow_concierge,Tier B,Operational,tier_b,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,19,targets/web/stayflow_concierge/tier_b/scenarios.private.dsl.yaml,stayflow_concierge/tier_b/scenarios.private.dsl.yaml
Travel,stayflow_concierge,Tier C,Regulated,tier_c,contract,contract.dsl.yaml,included,working_tree,,targets/web/stayflow_concierge/tier_c/contract.dsl.yaml,stayflow_concierge/tier_c/contract.dsl.yaml
Travel,stayflow_concierge,Tier C,Regulated,tier_c,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,10,targets/web/stayflow_concierge/tier_c/scenarios.public.dsl.yaml,stayflow_concierge/tier_c/scenarios.public.dsl.yaml
Travel,stayflow_concierge,Tier C,Regulated,tier_c,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,15,targets/web/stayflow_concierge/tier_c/scenarios.private.dsl.yaml,stayflow_concierge/tier_c/scenarios.private.dsl.yaml
Travel,stayflow_concierge,Tier D,Release-stage,tier_d,contract,contract.dsl.yaml,included,working_tree,,targets/web/stayflow_concierge/tier_d/contract.dsl.yaml,stayflow_concierge/tier_d/contract.dsl.yaml
Travel,stayflow_concierge,Tier D,Release-stage,tier_d,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,11,targets/web/stayflow_concierge/tier_d/scenarios.public.dsl.yaml,stayflow_concierge/tier_d/scenarios.public.dsl.yaml
Travel,stayflow_concierge,Tier D,Release-stage,tier_d,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,17,targets/web/stayflow_concierge/tier_d/scenarios.private.dsl.yaml,stayflow_concierge/tier_d/scenarios.private.dsl.yaml
Grocery,freshcart_market,Tier A,Consumer,tier_a,contract,contract.dsl.yaml,included,working_tree,,targets/web/freshcart_market/tier_a/contract.dsl.yaml,freshcart_market/tier_a/contract.dsl.yaml
Grocery,freshcart_market,Tier A,Consumer,tier_a,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,5,targets/web/freshcart_market/tier_a/scenarios.public.dsl.yaml,freshcart_market/tier_a/scenarios.public.dsl.yaml
Grocery,freshcart_market,Tier A,Consumer,tier_a,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,19,targets/web/freshcart_market/tier_a/scenarios.private.dsl.yaml,freshcart_market/tier_a/scenarios.private.dsl.yaml
Grocery,freshcart_market,Tier B,Operational,tier_b,contract,contract.dsl.yaml,included,working_tree,,targets/web/freshcart_market/tier_b/contract.dsl.yaml,freshcart_market/tier_b/contract.dsl.yaml
Grocery,freshcart_market,Tier B,Operational,tier_b,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,5,targets/web/freshcart_market/tier_b/scenarios.public.dsl.yaml,freshcart_market/tier_b/scenarios.public.dsl.yaml
Grocery,freshcart_market,Tier B,Operational,tier_b,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,24,targets/web/freshcart_market/tier_b/scenarios.private.dsl.yaml,freshcart_market/tier_b/scenarios.private.dsl.yaml
Grocery,freshcart_market,Tier C,Regulated,tier_c,contract,contract.dsl.yaml,included,working_tree,,targets/web/freshcart_market/tier_c/contract.dsl.yaml,freshcart_market/tier_c/contract.dsl.yaml
Grocery,freshcart_market,Tier C,Regulated,tier_c,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,7,targets/web/freshcart_market/tier_c/scenarios.public.dsl.yaml,freshcart_market/tier_c/scenarios.public.dsl.yaml
Grocery,freshcart_market,Tier C,Regulated,tier_c,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,24,targets/web/freshcart_market/tier_c/scenarios.private.dsl.yaml,freshcart_market/tier_c/scenarios.private.dsl.yaml
Grocery,freshcart_market,Tier D,Release-stage,tier_d,contract,contract.dsl.yaml,included,working_tree,,targets/web/freshcart_market/tier_d/contract.dsl.yaml,freshcart_market/tier_d/contract.dsl.yaml
Grocery,freshcart_market,Tier D,Release-stage,tier_d,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,8,targets/web/freshcart_market/tier_d/scenarios.public.dsl.yaml,freshcart_market/tier_d/scenarios.public.dsl.yaml
Grocery,freshcart_market,Tier D,Release-stage,tier_d,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,26,targets/web/freshcart_market/tier_d/scenarios.private.dsl.yaml,freshcart_market/tier_d/scenarios.private.dsl.yaml
Clinical Command,clinic_shift_command,Tier A,Consumer,tier_a,contract,contract.dsl.yaml,included,git:codex/clinic-shift-tier-a,,codex/clinic-shift-tier-a:targets/web/clinic_shift_command/tier_a/contract.dsl.yaml,clinic_shift_command/tier_a/contract.dsl.yaml
Clinical Command,clinic_shift_command,Tier A,Consumer,tier_a,public_scenarios,scenarios.public.dsl.yaml,included,git:codex/clinic-shift-tier-a,6,codex/clinic-shift-tier-a:targets/web/clinic_shift_command/tier_a/scenarios.public.dsl.yaml,clinic_shift_command/tier_a/scenarios.public.dsl.yaml
Clinical Command,clinic_shift_command,Tier A,Consumer,tier_a,private_scenarios,scenarios.private.dsl.yaml,included,git:codex/clinic-shift-tier-a,17,codex/clinic-shift-tier-a:targets/web/clinic_shift_command/tier_a/scenarios.private.dsl.yaml,clinic_shift_command/tier_a/scenarios.private.dsl.yaml
Clinical Command,clinic_shift_command,Tier B,Operational,tier_b,contract,contract.dsl.yaml,included,working_tree,,targets/web/clinic_shift_command/tier_b/contract.dsl.yaml,clinic_shift_command/tier_b/contract.dsl.yaml
Clinical Command,clinic_shift_command,Tier B,Operational,tier_b,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,9,targets/web/clinic_shift_command/tier_b/scenarios.public.dsl.yaml,clinic_shift_command/tier_b/scenarios.public.dsl.yaml
Clinical Command,clinic_shift_command,Tier B,Operational,tier_b,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,24,targets/web/clinic_shift_command/tier_b/scenarios.private.dsl.yaml,clinic_shift_command/tier_b/scenarios.private.dsl.yaml
Clinical Command,clinic_shift_command,Tier C,Regulated,tier_c,contract,contract.dsl.yaml,included,working_tree,,targets/web/clinic_shift_command/tier_c/contract.dsl.yaml,clinic_shift_command/tier_c/contract.dsl.yaml
Clinical Command,clinic_shift_command,Tier C,Regulated,tier_c,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,15,targets/web/clinic_shift_command/tier_c/scenarios.public.dsl.yaml,clinic_shift_command/tier_c/scenarios.public.dsl.yaml
Clinical Command,clinic_shift_command,Tier C,Regulated,tier_c,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,37,targets/web/clinic_shift_command/tier_c/scenarios.private.dsl.yaml,clinic_shift_command/tier_c/scenarios.private.dsl.yaml
Clinical Command,clinic_shift_command,Tier D,Release-stage,tier_d,contract,contract.dsl.yaml,included,working_tree,,targets/web/clinic_shift_command/tier_d/contract.dsl.yaml,clinic_shift_command/tier_d/contract.dsl.yaml
Clinical Command,clinic_shift_command,Tier D,Release-stage,tier_d,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,16,targets/web/clinic_shift_command/tier_d/scenarios.public.dsl.yaml,clinic_shift_command/tier_d/scenarios.public.dsl.yaml
Clinical Command,clinic_shift_command,Tier D,Release-stage,tier_d,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,39,targets/web/clinic_shift_command/tier_d/scenarios.private.dsl.yaml,clinic_shift_command/tier_d/scenarios.private.dsl.yaml
Campus Registrar,campus_registrar_command,Tier A,Consumer,tier_a,contract,contract.dsl.yaml,included,working_tree,,targets/web/campus_registrar_command/tier_a/contract.dsl.yaml,campus_registrar_command/tier_a/contract.dsl.yaml
Campus Registrar,campus_registrar_command,Tier A,Consumer,tier_a,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,14,targets/web/campus_registrar_command/tier_a/scenarios.public.dsl.yaml,campus_registrar_command/tier_a/scenarios.public.dsl.yaml
Campus Registrar,campus_registrar_command,Tier A,Consumer,tier_a,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,10,targets/web/campus_registrar_command/tier_a/scenarios.private.dsl.yaml,campus_registrar_command/tier_a/scenarios.private.dsl.yaml
Campus Registrar,campus_registrar_command,Tier B,Operational,tier_b,contract,contract.dsl.yaml,included,working_tree,,targets/web/campus_registrar_command/tier_b/contract.dsl.yaml,campus_registrar_command/tier_b/contract.dsl.yaml
Campus Registrar,campus_registrar_command,Tier B,Operational,tier_b,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,12,targets/web/campus_registrar_command/tier_b/scenarios.public.dsl.yaml,campus_registrar_command/tier_b/scenarios.public.dsl.yaml
Campus Registrar,campus_registrar_command,Tier B,Operational,tier_b,private_scenarios,scenarios.private.dsl.yaml,missing,missing,,targets/web/campus_registrar_command/tier_b/scenarios.private.dsl.yaml,campus_registrar_command/tier_b/scenarios.private.dsl.yaml
Campus Registrar,campus_registrar_command,Tier C,Regulated,tier_c,contract,contract.dsl.yaml,included,working_tree,,targets/web/campus_registrar_command/tier_c/contract.dsl.yaml,campus_registrar_command/tier_c/contract.dsl.yaml
Campus Registrar,campus_registrar_command,Tier C,Regulated,tier_c,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,12,targets/web/campus_registrar_command/tier_c/scenarios.public.dsl.yaml,campus_registrar_command/tier_c/scenarios.public.dsl.yaml
Campus Registrar,campus_registrar_command,Tier C,Regulated,tier_c,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,17,targets/web/campus_registrar_command/tier_c/scenarios.private.dsl.yaml,campus_registrar_command/tier_c/scenarios.private.dsl.yaml
Campus Registrar,campus_registrar_command,Tier D,Release-stage,tier_d,contract,contract.dsl.yaml,included,working_tree,,targets/web/campus_registrar_command/tier_d/contract.dsl.yaml,campus_registrar_command/tier_d/contract.dsl.yaml
Campus Registrar,campus_registrar_command,Tier D,Release-stage,tier_d,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,14,targets/web/campus_registrar_command/tier_d/scenarios.public.dsl.yaml,campus_registrar_command/tier_d/scenarios.public.dsl.yaml
Campus Registrar,campus_registrar_command,Tier D,Release-stage,tier_d,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,20,targets/web/campus_registrar_command/tier_d/scenarios.private.dsl.yaml,campus_registrar_command/tier_d/scenarios.private.dsl.yaml
Media Campaign,media_campaign_launch_desk,Tier A,Consumer,tier_a,contract,contract.dsl.yaml,included,working_tree,,targets/web/media_campaign_launch_desk/tier_a/contract.dsl.yaml,media_campaign_launch_desk/tier_a/contract.dsl.yaml
Media Campaign,media_campaign_launch_desk,Tier A,Consumer,tier_a,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,14,targets/web/media_campaign_launch_desk/tier_a/scenarios.public.dsl.yaml,media_campaign_launch_desk/tier_a/scenarios.public.dsl.yaml
Media Campaign,media_campaign_launch_desk,Tier A,Consumer,tier_a,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,10,targets/web/media_campaign_launch_desk/tier_a/scenarios.private.dsl.yaml,media_campaign_launch_desk/tier_a/scenarios.private.dsl.yaml
Media Campaign,media_campaign_launch_desk,Tier B,Operational,tier_b,contract,contract.dsl.yaml,included,working_tree,,targets/web/media_campaign_launch_desk/tier_b/contract.dsl.yaml,media_campaign_launch_desk/tier_b/contract.dsl.yaml
Media Campaign,media_campaign_launch_desk,Tier B,Operational,tier_b,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,12,targets/web/media_campaign_launch_desk/tier_b/scenarios.public.dsl.yaml,media_campaign_launch_desk/tier_b/scenarios.public.dsl.yaml
Media Campaign,media_campaign_launch_desk,Tier B,Operational,tier_b,private_scenarios,scenarios.private.dsl.yaml,missing,missing,,targets/web/media_campaign_launch_desk/tier_b/scenarios.private.dsl.yaml,media_campaign_launch_desk/tier_b/scenarios.private.dsl.yaml
Media Campaign,media_campaign_launch_desk,Tier C,Regulated,tier_c,contract,contract.dsl.yaml,included,working_tree,,targets/web/media_campaign_launch_desk/tier_c/contract.dsl.yaml,media_campaign_launch_desk/tier_c/contract.dsl.yaml
Media Campaign,media_campaign_launch_desk,Tier C,Regulated,tier_c,public_scenarios,scenarios.public.dsl.yaml,included,working_tree,24,targets/web/media_campaign_launch_desk/tier_c/scenarios.public.dsl.yaml,media_campaign_launch_desk/tier_c/scenarios.public.dsl.yaml
Media Campaign,media_campaign_launch_desk,Tier C,Regulated,tier_c,private_scenarios,scenarios.private.dsl.yaml,included,working_tree,20,targets/web/media_campaign_launch_desk/tier_c/scenarios.private.dsl.yaml,media_campaign_launch_desk/tier_c/scenarios.private.dsl.yaml
