suite,family,tier,tier_name,model_tier,model_group,model_id,model,runs,full_pass,formal_mean,stepwise_mean,source
stayflow_concierge,Travel,A,Consumer,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.16265060240963852,0.36240294511378845,raw_current
stayflow_concierge,Travel,A,Consumer,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.10361445783132531,0.25894578313253014,raw_current
stayflow_concierge,Travel,A,Consumer,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.1765896921017403,raw_current
stayflow_concierge,Travel,A,Consumer,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.012048192771084331,0.1370716198125837,raw_current
stayflow_concierge,Travel,A,Consumer,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,0,0.5060240963855421,0.6180354752342704,raw_current
stayflow_concierge,Travel,A,Consumer,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,0,0.17349397590361446,0.37204962707974754,raw_current
stayflow_concierge,Travel,A,Consumer,F,Frontier,gpt54,GPT-5.4,10,0,0.7602409638554217,0.904277108433735,raw_current
stayflow_concierge,Travel,A,Consumer,F,Frontier,claude_opus46,Claude Opus 4.6,10,0,0.6289156626506024,0.7830918913750239,raw_current
stayflow_concierge,Travel,A,Consumer,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,2,0.7963855421686746,0.9021342512908778,raw_current
stayflow_concierge,Travel,B,Operational,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.16545454545454544,0.3693065957699929,raw_current
stayflow_concierge,Travel,B,Operational,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.28727272727272724,0.5877268992304878,raw_current
stayflow_concierge,Travel,B,Operational,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.0733259202519968,raw_current
stayflow_concierge,Travel,B,Operational,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.08363636363636363,0.1973233336307499,raw_current
stayflow_concierge,Travel,B,Operational,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,1,0.66,0.8076134028650774,raw_current
stayflow_concierge,Travel,B,Operational,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,0,0.17545454545454545,0.37990817197156906,raw_current
stayflow_concierge,Travel,B,Operational,F,Frontier,gpt54,GPT-5.4,10,0,0.8118181818181819,0.9641123394149711,raw_current
stayflow_concierge,Travel,B,Operational,F,Frontier,claude_opus46,Claude Opus 4.6,10,0,0.22636363636363638,0.4300928732352178,raw_current
stayflow_concierge,Travel,B,Operational,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,1,0.8145454545454547,0.9444335829508079,raw_current
stayflow_concierge,Travel,C,Regulated,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.0,0.058745273510473685,raw_current
stayflow_concierge,Travel,C,Regulated,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.08235294117647059,0.2826108562854731,raw_current
stayflow_concierge,Travel,C,Regulated,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.0629273902074198,raw_current
