suite,suite_label,tier,model,model_label,model_tier,model_tier_label,runs,formal_mean,stepwise_mean,full_pass,full_total,full_pass_rate,report_view,source
campus_registrar_command,Campus Registrar Command,A,claude_haiku45,Claude Haiku 4.5,M,Small,10.0,0.375,0.579,1.0,10.0,0.1,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,A,claude_opus46,Claude Opus 4.6,F,Frontier,10.0,0.8,0.8220000000000001,8.0,10.0,0.8,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,A,claude_sonnet46,Claude Sonnet 4.6,T,Mid-range,10.0,0.758,0.848,6.0,10.0,0.6,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,A,gemini31_flash_lite,Gemini 3.1 Flash Lite,M,Small,10.0,0.055,0.228,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,A,gemini31_pro_preview,Gemini 3.1 Pro Preview,F,Frontier,10.0,0.915,0.955,7.0,10.0,0.7,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,A,gemini_flash_latest,Gemini 3.1 Flash,T,Mid-range,10.0,0.34,0.48100000000000004,2.0,10.0,0.2,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,A,gpt54,GPT-5.4,F,Frontier,10.0,0.711,0.768,6.0,10.0,0.6,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,A,gpt54_mini,GPT-5.4 mini,T,Mid-range,10.0,0.23199999999999998,0.36700000000000005,1.0,10.0,0.1,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,A,gpt54_nano,GPT-5.4 nano,M,Small,10.0,0.21,0.408,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,B,claude_haiku45,Claude Haiku 4.5,M,Small,10.0,0.109,0.251,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,B,claude_opus46,Claude Opus 4.6,F,Frontier,10.0,0.9,0.9079999999999999,9.0,10.0,0.9,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,B,claude_sonnet46,Claude Sonnet 4.6,T,Mid-range,10.0,0.6659999999999999,0.782,1.0,10.0,0.1,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,B,gemini31_flash_lite,Gemini 3.1 Flash Lite,M,Small,10.0,0.0,0.062,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,B,gemini31_pro_preview,Gemini 3.1 Pro Preview,F,Frontier,10.0,0.789,0.8140000000000001,7.0,10.0,0.7,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,B,gemini_flash_latest,Gemini 3.1 Flash,T,Mid-range,10.0,0.716,0.8490000000000001,4.0,10.0,0.4,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,B,gpt54,GPT-5.4,F,Frontier,10.0,0.82,0.863,7.0,10.0,0.7,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,B,gpt54_mini,GPT-5.4 mini,T,Mid-range,10.0,0.039,0.20600000000000002,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,B,gpt54_nano,GPT-5.4 nano,M,Small,10.0,0.261,0.379,2.0,10.0,0.2,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,C,claude_haiku45,Claude Haiku 4.5,M,Small,10.0,0.185,0.322,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,C,claude_opus46,Claude Opus 4.6,F,Frontier,10.0,0.7340000000000001,0.895,1.0,10.0,0.1,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,C,claude_sonnet46,Claude Sonnet 4.6,T,Mid-range,10.0,0.991,0.9990000000000001,8.0,10.0,0.8,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,C,gemini31_flash_lite,Gemini 3.1 Flash Lite,M,Small,10.0,0.0,0.053,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,C,gemini31_pro_preview,Gemini 3.1 Pro Preview,F,Frontier,10.0,0.6409999999999999,0.8190000000000001,1.0,10.0,0.1,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,C,gemini_flash_latest,Gemini 3.1 Flash,T,Mid-range,10.0,0.262,0.387,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,C,gpt54,GPT-5.4,F,Frontier,10.0,0.7559999999999999,0.802,2.0,10.0,0.2,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,C,gpt54_mini,GPT-5.4 mini,T,Mid-range,10.0,0.0,0.032,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,C,gpt54_nano,GPT-5.4 nano,M,Small,10.0,0.195,0.304,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,C,group_aggregate,**Group aggregate**,F,Frontier,30.0,0.127,0.226,0.0,30.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,D,claude_haiku45,Claude Haiku 4.5,M,Small,10.0,0.209,0.314,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,D,claude_opus46,Claude Opus 4.6,F,Frontier,10.0,0.914,0.9890000000000001,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,D,claude_sonnet46,Claude Sonnet 4.6,T,Mid-range,10.0,0.5820000000000001,0.6779999999999999,1.0,10.0,0.1,paper_main_reported,evaluation_report
