family,suite,tier,model_group,model,runs,reportable_runs,scenario_total,scenario_pass_mean,formal_mean,stepwise_mean,contract_mean,full_pass,source,aggregate_path
Campus Registrar,campus_registrar_command,C,M,gpt-5.4-nano,10,10,29,5.8,0.19491525423728814,0.30383949023085494,0.9965517241379309,0,recovered rerun summaries,targets/web/campus_registrar_command/tier_c/cohorts/M
Campus Registrar,campus_registrar_command,C,M,claude-haiku-4-5,10,10,29,5.5,0.1847457627118644,0.32247927899264833,0.9896551724137931,0,recovered rerun summaries,targets/web/campus_registrar_command/tier_c/cohorts/M
Campus Registrar,campus_registrar_command,C,M,gemini-3.1-flash-lite,10,10,29,0.0,0.0,0.05257167198831429,1.0,0,recovered rerun summaries,targets/web/campus_registrar_command/tier_c/cohorts/M
Campus Registrar,campus_registrar_command,C,T,gpt-5.4-mini,10,10,29,0.0,0.0,0.031543003192988577,1.0,0,recovered rerun summaries,targets/web/campus_registrar_command/tier_c/cohorts/T
Campus Registrar,campus_registrar_command,C,T,claude-sonnet-4-6,10,10,29,28.7,0.990677966101695,0.9991308744221878,1.0,8,recovered rerun summaries,targets/web/campus_registrar_command/tier_c/cohorts/T
Campus Registrar,campus_registrar_command,C,T,gemini-flash-latest,10,10,29,8.0,0.261864406779661,0.38661353689900596,1.0,0,recovered rerun summaries,targets/web/campus_registrar_command/tier_c/cohorts/T
Campus Registrar,campus_registrar_command,D,M,gpt-5.4-nano,10,10,34,5.4,0.1494047619047619,0.2334904100787559,1.0,0,recovered rerun summaries,targets/web/campus_registrar_command/tier_d/cohorts/M
Campus Registrar,campus_registrar_command,D,M,claude-haiku-4-5,10,10,34,7.3,0.20892857142857144,0.31412537767331,1.0,0,recovered rerun summaries,targets/web/campus_registrar_command/tier_d/cohorts/M
Campus Registrar,campus_registrar_command,D,M,gemini-3.1-flash-lite,10,10,34,0.0,0.0,0.05706324903928287,1.0,0,recovered rerun summaries,targets/web/campus_registrar_command/tier_d/cohorts/M
Campus Registrar,campus_registrar_command,D,T,gpt-5.4-mini,10,10,34,0.0,0.0,0.045650599231426295,1.0,0,recovered rerun summaries,targets/web/campus_registrar_command/tier_d/cohorts/T
Campus Registrar,campus_registrar_command,D,T,claude-sonnet-4-6,10,10,34,20.5,0.5815476190476191,0.6778010352751894,1.0,1,recovered rerun summaries,targets/web/campus_registrar_command/tier_d/cohorts/T
Campus Registrar,campus_registrar_command,D,T,gemini-flash-latest,10,10,34,10.7,0.27321428571428574,0.4222822656927449,0.9911764705882353,0,recovered rerun summaries,targets/web/campus_registrar_command/tier_d/cohorts/T
Clinical Command,clinic_shift_command,D,F,gpt-5.4,10,10,55,53.8,0.9676328502415459,0.9934398530823316,0.9981818181818183,3,recovered rerun summaries,targets/web/clinic_shift_command/tier_d/cohorts/F
Clinical Command,clinic_shift_command,D,F,claude-opus-4-6,10,10,55,49.9,0.8927536231884059,0.9587376642043864,0.9236363636363636,0,recovered rerun summaries,targets/web/clinic_shift_command/tier_d/cohorts/F
Clinical Command,clinic_shift_command,D,F,gemini-3.1-pro-preview,10,10,55,33.7,0.593719806763285,0.6864718526693354,0.9781818181818182,0,recovered rerun summaries,targets/web/clinic_shift_command/tier_d/cohorts/F
Clinical Command,clinic_shift_command,D,M,gpt-5.4-nano,10,10,55,1.0,0.006763285024154589,0.16666891601219735,0.8163636363636364,0,recovered rerun summaries,targets/web/clinic_shift_command/tier_d/cohorts/M
Clinical Command,clinic_shift_command,D,M,claude-haiku-4-5,10,10,55,3.2,0.05362318840579709,0.17780846981574147,0.7672727272727273,0,recovered rerun summaries,targets/web/clinic_shift_command/tier_d/cohorts/M
Clinical Command,clinic_shift_command,D,M,gemini-3.1-flash-lite,10,10,55,0.0,0.0,0.09008657287453431,1.0,0,recovered rerun summaries,targets/web/clinic_shift_command/tier_d/cohorts/M
Clinical Command,clinic_shift_command,D,T,gpt-5.4-mini,10,10,55,0.0,0.0,0.08107791558708088,0.9454545454545455,0,recovered rerun summaries,targets/web/clinic_shift_command/tier_d/cohorts/T
Clinical Command,clinic_shift_command,D,T,claude-sonnet-4-6,10,10,55,24.9,0.44685990338164255,0.6568908832521669,0.9254545454545454,0,recovered rerun summaries,targets/web/clinic_shift_command/tier_d/cohorts/T
Clinical Command,clinic_shift_command,D,T,gemini-flash-latest,10,10,55,22.1,0.39855072463768115,0.5172817163030767,0.9272727272727274,0,recovered rerun summaries,targets/web/clinic_shift_command/tier_d/cohorts/T
Grocery,freshcart_market,D,F,gpt-5.4,10,10,34,19.2,0.4310924369747899,0.7213023321631626,0.9882352941176471,0,recovered rerun summaries,targets/web/freshcart_market/tier_d/cohorts/F
Grocery,freshcart_market,D,F,claude-opus-4-6,10,10,34,24.0,0.5462184873949579,0.8381546151290312,1.0,0,recovered rerun summaries,targets/web/freshcart_market/tier_d/cohorts/F
Grocery,freshcart_market,D,F,gemini-3.1-pro-preview,10,10,34,9.6,0.2495798319327731,0.377910340807631,1.0,1,recovered rerun summaries,targets/web/freshcart_market/tier_d/cohorts/F
