suite,suite_label,tier,pages,components,component_actions,effects,state_fields,services,tables,derived_relations,public_scenarios,private_scenarios,scenario_count,scenario_steps,avg_steps_per_scenario,max_steps_public,max_steps_private,max_steps
campus_registrar_command,Campus Registrar Command,A,3,23,23,85,27,1,3,0,14,10,24,116,4.833333333333333,8,10,10
campus_registrar_command,Campus Registrar Command,B,4,27,27,155,44,0,7,5,12,0,12,87,7.25,14,0,14
campus_registrar_command,Campus Registrar Command,C,5,29,29,198,64,1,10,12,12,17,29,366,12.620689655172415,29,30,30
campus_registrar_command,Campus Registrar Command,D,6,38,38,206,84,3,11,19,14,20,34,430,12.647058823529411,38,39,39
clinic_shift_command,Clinic Shift Command,B,4,34,34,185,47,2,6,0,9,24,33,202,6.121212121212121,16,21,21
clinic_shift_command,Clinic Shift Command,C,5,50,50,298,92,5,12,0,15,37,52,421,8.096153846153847,16,41,41
clinic_shift_command,Clinic Shift Command,D,5,51,51,311,97,5,13,0,16,39,55,477,8.672727272727272,16,49,49
freshcart_market,FreshCart Market,A,3,30,30,111,23,1,2,0,5,19,24,144,6.0,8,17,17
freshcart_market,FreshCart Market,B,4,46,46,243,39,2,2,10,5,24,29,191,6.586206896551724,9,22,22
freshcart_market,FreshCart Market,C,5,58,58,352,51,4,2,15,7,24,31,217,7.0,11,29,29
freshcart_market,FreshCart Market,D,5,59,59,365,56,4,3,15,8,26,34,260,7.647058823529412,11,31,31
homefix_hub,HomeFix Hub,A,3,18,18,50,50,1,2,0,14,10,24,138,5.75,11,12,12
homefix_hub,HomeFix Hub,B,4,24,24,65,50,1,4,0,16,13,29,191,6.586206896551724,12,12,12
homefix_hub,HomeFix Hub,C,5,34,34,109,55,1,6,0,17,32,49,494,10.081632653061224,16,20,20
homefix_hub,HomeFix Hub,D,6,42,42,138,54,2,8,0,18,46,64,775,12.109375,15,29,29
media_campaign_launch_desk,Media Campaign Launch Desk,A,3,23,23,90,27,1,3,0,14,10,24,133,5.541666666666667,11,13,13
media_campaign_launch_desk,Media Campaign Launch Desk,B,4,22,22,117,38,0,6,6,12,0,12,100,8.333333333333334,23,0,23
media_campaign_launch_desk,Media Campaign Launch Desk,C,5,28,28,165,47,0,7,6,24,20,44,357,8.113636363636363,21,21,21
media_campaign_launch_desk,Media Campaign Launch Desk,D,5,40,40,173,74,2,9,0,20,28,48,457,9.520833333333334,41,50,50
stayflow_concierge,StayFlow Concierge,A,3,23,23,126,33,1,2,0,5,18,23,127,5.521739130434782,5,15,15
stayflow_concierge,StayFlow Concierge,B,4,31,31,189,41,2,3,12,10,19,29,220,7.586206896551724,19,25,25
stayflow_concierge,StayFlow Concierge,C,6,36,36,206,57,4,6,23,10,15,25,246,9.84,28,34,34
stayflow_concierge,StayFlow Concierge,D,6,37,37,219,62,4,7,23,11,17,28,284,10.142857142857142,28,34,34
