target_label,suite,suite_label,tier,status,source_kind,selection_reason,source_path,output_pdf
StayFlow Concierge A,stayflow_concierge,StayFlow Concierge,A,written,current raw browser screenshot,"no curated reference screenshot was found, so the first available current-run browser screenshot was used",/Users/chansungpark/Developers/detoxbench/artifacts/stayflow_repeat_cohorts/20260511_stayflow_ab_mtf_10x/runs/tier_a/F/claude_opus46/r04/20260511-131048-f1c5ecfd/screenshots/public_04_service_promo_credit/010-before.png,evidence/representative_screenshots/stayflow_concierge_a_representative.pdf
StayFlow Concierge B,stayflow_concierge,StayFlow Concierge,B,written,current raw browser screenshot,"no curated reference screenshot was found, so the first available current-run browser screenshot was used",/Users/chansungpark/Developers/detoxbench/artifacts/stayflow_repeat_cohorts/20260511_stayflow_ab_mtf_10x/runs/tier_b/F/claude_opus46/r01/20260511-134931-2ff17651/screenshots/public_03_two_city_addons_and_quote/014-before.png,evidence/representative_screenshots/stayflow_concierge_b_representative.pdf
StayFlow Concierge C,stayflow_concierge,StayFlow Concierge,C,written,current raw browser screenshot,"no curated reference screenshot was found, so the first available current-run browser screenshot was used",/Users/chansungpark/Developers/detoxbench/artifacts/stayflow_repeat_cohorts/stayflow-tier-c-20260511T153500Z/runs/tier_c/F/claude_opus46/r01/20260511-163429-6180d5b9/screenshots/public_01_filter_jeju_inventory/008-before.png,evidence/representative_screenshots/stayflow_concierge_c_representative.pdf
StayFlow Concierge D,stayflow_concierge,StayFlow Concierge,D,written,target reference screenshot,selected from the target's curated reference screenshots,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/stayflow_concierge/tier_d/screenshots/01_tier_d_release_seal_desktop.png,evidence/representative_screenshots/stayflow_concierge_d_representative.pdf
FreshCart Market A,freshcart_market,FreshCart Market,A,written,current raw browser screenshot,"no curated reference screenshot was found, so the first available current-run browser screenshot was used",/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/freshcart_market/tier_a/cohorts/F/20260511T180907Z/runs/claude_opus46/r01/20260512-040109-f64ea4ff/screenshots/public_01_filter_fruit_catalog/006-before.png,evidence/representative_screenshots/freshcart_market_a_representative.pdf
FreshCart Market B,freshcart_market,FreshCart Market,B,written,target reference screenshot,selected from the target's curated reference screenshots,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/freshcart_market/tier_b/screenshots/01_market_greenfarm.png,evidence/representative_screenshots/freshcart_market_b_representative.pdf
FreshCart Market C,freshcart_market,FreshCart Market,C,written,target reference screenshot,selected from the target's curated reference screenshots,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/freshcart_market/tier_c/screenshots/01_market_oceancatch.png,evidence/representative_screenshots/freshcart_market_c_representative.pdf
FreshCart Market D,freshcart_market,FreshCart Market,D,written,target reference screenshot,selected from the target's curated reference screenshots,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/freshcart_market/tier_d/screenshots/01_tier_d_manifest_seal_desktop.png,evidence/representative_screenshots/freshcart_market_d_representative.pdf
Clinic Shift Command A,clinic_shift_command,Clinic Shift Command,A,written,current raw browser screenshot,"no curated reference screenshot was found, so the first available current-run browser screenshot was used",/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_a/cohorts/F/20260513T003251Z_clinic_tiera_mtf_10x/runs/claude_opus46/r09/20260513-095852-4a5110d9/screenshots/public_01_filter_urgent_queue/002-before.png,evidence/representative_screenshots/clinic_shift_command_a_representative.pdf
Clinic Shift Command B,clinic_shift_command,Clinic Shift Command,B,written,target reference screenshot,selected from the target's curated reference screenshots,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_b/screenshots/01_command_board_desktop.png,evidence/representative_screenshots/clinic_shift_command_b_representative.pdf
Clinic Shift Command C,clinic_shift_command,Clinic Shift Command,C,written,target reference screenshot,selected from the target's curated reference screenshots,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_c/screenshots/01_command_board_desktop.png,evidence/representative_screenshots/clinic_shift_command_c_representative.pdf
Clinic Shift Command D,clinic_shift_command,Clinic Shift Command,D,written,target reference screenshot,selected from the target's curated reference screenshots,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/clinic_shift_command/tier_d/screenshots/01_tier_d_incident_seal_desktop.png,evidence/representative_screenshots/clinic_shift_command_d_representative.pdf
Campus Registrar Command A,campus_registrar_command,Campus Registrar Command,A,written,target reference screenshot,selected from the target's curated reference screenshots,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_a/screenshots/01_catalog_desktop.png,evidence/representative_screenshots/campus_registrar_command_a_representative.pdf
Campus Registrar Command B,campus_registrar_command,Campus Registrar Command,B,written,target reference screenshot,selected from the target's curated reference screenshots,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_b/screenshots/01_conflict_matrix_desktop.png,evidence/representative_screenshots/campus_registrar_command_b_representative.pdf
Campus Registrar Command C,campus_registrar_command,Campus Registrar Command,C,written,target reference screenshot,selected from the target's curated reference screenshots,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/screenshots/01_certification_blockers_desktop.png,evidence/representative_screenshots/campus_registrar_command_c_representative.pdf
Campus Registrar Command D,campus_registrar_command,Campus Registrar Command,D,written,target reference screenshot,selected from the target's curated reference screenshots,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_d/screenshots/01_release_freeze_desktop.png,evidence/representative_screenshots/campus_registrar_command_d_representative.pdf
Media Campaign Launch Desk A,media_campaign_launch_desk,Media Campaign Launch Desk,A,written,target reference screenshot,selected from the target's curated reference screenshots,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/media_campaign_launch_desk/tier_a/screenshots/01_assets_desktop.png,evidence/representative_screenshots/media_campaign_launch_desk_a_representative.pdf
Media Campaign Launch Desk B,media_campaign_launch_desk,Media Campaign Launch Desk,B,written,target reference screenshot,selected from the target's curated reference screenshots,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/media_campaign_launch_desk/tier_b/screenshots/01_broadcast_switcher_desktop.png,evidence/representative_screenshots/media_campaign_launch_desk_b_representative.pdf
