source_figure,source_panel,source_file,grain,plot_role,row_order,metric_order,metric,metric_label,value,value_pct,ci95_low_pct,ci95_high_pct,ci95_halfwidth_pct,full_pass,denominator,count_label,n_points,runs,suite,suite_label,family,family_label,tier,tier_label,model_tier,model_group,model,model_label,model_order,input_source,denominator_policy,data_scope,notes
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot,0,1,full_pass_rate,Full pass,0.11296296296296296,11.296296296296296,,,,244.0,2160.0,"244/2,160 (11.3%)",,2160.0,,,,Overall,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot,0,2,formal_mean,Scenario-level conformance,0.36230599415204673,36.23059941520467,,,,,2160.0,,,2160.0,,,,Overall,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot_and_gap_endpoint,0,3,stepwise_mean,Step-level progress,0.4898317685522729,48.98317685522729,,,,,2160.0,,,2160.0,,,,Overall,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot,1,1,full_pass_rate,Full pass,0.016666666666666666,1.6666666666666667,,,,6.0,360.0,6/360 (1.7%),,360.0,,,Travel,Travel,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot,1,2,formal_mean,Scenario-level conformance,0.2846916666666666,28.469166666666663,,,,,360.0,,,360.0,,,Travel,Travel,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot_and_gap_endpoint,1,3,stepwise_mean,Step-level progress,0.45914444444444436,45.914444444444435,,,,,360.0,,,360.0,,,Travel,Travel,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot,2,1,full_pass_rate,Full pass,0.05555555555555555,5.555555555555555,,,,20.0,360.0,20/360 (5.6%),,360.0,,,Grocery,Grocery,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot,2,2,formal_mean,Scenario-level conformance,0.24582777777777776,24.582777777777775,,,,,360.0,,,360.0,,,Grocery,Grocery,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot_and_gap_endpoint,2,3,stepwise_mean,Step-level progress,0.4005944444444444,40.059444444444445,,,,,360.0,,,360.0,,,Grocery,Grocery,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot,3,1,full_pass_rate,Full pass,0.11944444444444445,11.944444444444445,,,,43.0,360.0,43/360 (11.9%),,360.0,,,Clinical Command,Clinical Cmd.,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
