target_id,family,family_short,tier_id,tier_label,tier_name,contract_source,public_source,private_source,contract_present,private_present,compile_ok,compile_error,private_scenarios,private_steps,compiled_checks,declared_actions,private_action_refs,undeclared_action_refs,private_state_refs,undeclared_state_refs,private_page_refs,undeclared_page_refs,private_table_refs,undeclared_table_refs,private_event_refs,undeclared_event_refs,private_actor_refs,undeclared_actor_refs,relation_ops,browser_actions,step_modes,upload_steps,table_steps,browser_steps,event_steps,wait_steps,private_actions_seen_in_public,private_actions_total,private_action_public_overlap_pct,private_state_paths_seen_in_public,private_state_paths_total,private_state_public_overlap_pct,undeclared_symbols_total,admissible,notes
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,local,local,local,True,True,True,,18,108,1035,23,20,0,20,0,2,0,2,0,0,0,0,0,equals; unchanged,back; reload,unauthorized,4,3,5,0,0,10,20,50.0,6,20,30.0,0,True,private scenarios compile against public contract
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,local,local,local,True,True,True,,19,137,1630,31,28,0,29,0,2,0,3,0,0,0,0,0,equals; unchanged,back; forward; reload,unauthorized,4,6,5,0,0,22,28,78.6,21,29,72.4,0,True,private scenarios compile against public contract
stayflow_concierge,Travel,Travel,tier_c,Tier C,Regulated,local,local,local,True,True,True,,15,142,1611,36,34,0,27,0,2,0,3,0,0,0,0,0,equals,back; forward; reload,conflict; unauthorized,4,3,3,0,0,33,34,97.1,22,27,81.5,0,True,private scenarios compile against public contract
stayflow_concierge,Travel,Travel,tier_d,Tier D,Release stage,local,local,local,True,True,True,,17,177,1999,37,35,0,31,0,2,0,4,0,0,0,0,0,equals,back; forward; reload,conflict; rejected; unauthorized,6,4,3,0,0,33,35,94.3,25,31,80.6,0,True,private scenarios compile against public contract
freshcart_market,Grocery,Grocery,tier_a,Tier A,Consumer,local,local,local,True,True,True,,19,120,801,30,28,0,16,0,2,0,1,0,0,0,0,0,equals; unchanged,back; reload,rejected; unauthorized,0,2,4,0,0,15,28,53.6,11,16,68.8,0,True,private scenarios compile against public contract
freshcart_market,Grocery,Grocery,tier_b,Tier B,Operational,local,local,local,True,True,True,,24,166,1768,46,38,0,32,0,2,0,1,0,0,0,0,0,equals; unchanged,back; reload,rejected; unauthorized,0,2,5,0,0,15,38,39.5,15,32,46.9,0,True,private scenarios compile against public contract
freshcart_market,Grocery,Grocery,tier_c,Tier C,Regulated,local,local,local,True,True,True,,24,171,2174,58,46,0,39,0,2,0,1,0,0,0,0,0,equals; unchanged,back; reload,rejected; unauthorized,0,3,3,0,0,26,46,56.5,22,39,56.4,0,True,private scenarios compile against public contract
freshcart_market,Grocery,Grocery,tier_d,Tier D,Release stage,local,local,local,True,True,True,,26,211,2627,59,47,0,43,0,2,0,2,0,0,0,0,0,equals; unchanged,back; reload,rejected; unauthorized,0,4,3,0,0,26,47,55.3,25,43,58.1,0,True,private scenarios compile against public contract
clinic_shift_command,Clinical Command,Clinical,tier_a,Tier A,Consumer,git:codex/clinic-shift-tier-a,git:codex/clinic-shift-tier-a,git:codex/clinic-shift-tier-a,True,True,True,,17,78,769,25,21,0,16,0,3,0,3,0,0,0,0,0,equals; unchanged,back; reload,rejected; unauthorized,0,5,4,0,0,15,21,71.4,15,16,93.8,0,True,private scenarios compile against public contract
clinic_shift_command,Clinical Command,Clinical,tier_b,Tier B,Operational,local,local,local,True,True,True,,24,143,1780,34,29,0,32,0,3,0,5,0,0,0,0,0,equals; unchanged,back; reload,rejected; unauthorized,4,7,5,0,0,21,29,72.4,19,32,59.4,0,True,private scenarios compile against public contract
clinic_shift_command,Clinical Command,Clinical,tier_c,Tier C,Regulated,local,local,local,True,True,True,,37,319,4933,50,45,0,56,0,4,0,8,0,0,0,0,0,equals; unchanged,back; reload,rejected; unauthorized,21,11,7,0,0,32,45,71.1,32,56,57.1,0,True,private scenarios compile against public contract
