target_id,family,family_short,tier_id,tier_label,tier_name,category,contract_source,public_source,private_source,declared_in_public_contract,used_in_public_examples,used_in_private_scenarios,private_seen_in_public_examples,private_only_but_declared,private_undeclared,private_coverage_pct
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,Actions,local,local,local,23,11,20,10,10,0,100.0
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,State / observation paths,local,local,local,33,8,20,6,14,0,100.0
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,Routes/pages,local,local,local,3,0,2,0,2,0,100.0
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,Rendered tables,local,local,local,2,2,2,2,0,0,100.0
stayflow_concierge,Travel,Travel,tier_a,Tier A,Consumer,Events,local,local,local,0,0,0,0,0,0,
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,Actions,local,local,local,31,23,28,22,6,0,100.0
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,State / observation paths,local,local,local,41,24,29,21,8,0,100.0
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,Routes/pages,local,local,local,4,2,2,1,1,0,100.0
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,Rendered tables,local,local,local,3,3,3,3,0,0,100.0
stayflow_concierge,Travel,Travel,tier_b,Tier B,Operational,Events,local,local,local,0,0,0,0,0,0,
stayflow_concierge,Travel,Travel,tier_c,Tier C,Regulated,Actions,local,local,local,36,33,34,33,1,0,100.0
stayflow_concierge,Travel,Travel,tier_c,Tier C,Regulated,State / observation paths,local,local,local,57,38,27,22,5,0,100.0
stayflow_concierge,Travel,Travel,tier_c,Tier C,Regulated,Routes/pages,local,local,local,6,1,2,1,1,0,100.0
stayflow_concierge,Travel,Travel,tier_c,Tier C,Regulated,Rendered tables,local,local,local,6,3,3,2,1,0,100.0
stayflow_concierge,Travel,Travel,tier_c,Tier C,Regulated,Events,local,local,local,0,0,0,0,0,0,
stayflow_concierge,Travel,Travel,tier_d,Tier D,Release stage,Actions,local,local,local,37,33,35,33,2,0,100.0
stayflow_concierge,Travel,Travel,tier_d,Tier D,Release stage,State / observation paths,local,local,local,62,41,31,25,6,0,100.0
stayflow_concierge,Travel,Travel,tier_d,Tier D,Release stage,Routes/pages,local,local,local,6,1,2,1,1,0,100.0
stayflow_concierge,Travel,Travel,tier_d,Tier D,Release stage,Rendered tables,local,local,local,7,4,4,3,1,0,100.0
stayflow_concierge,Travel,Travel,tier_d,Tier D,Release stage,Events,local,local,local,0,0,0,0,0,0,
